"TradeDate","SettleDateTarget","Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","Proceeds"
"20200505","20200507","BABA","BUY","100","195.1","-1","-19510"
"20200505","20200507","BABA","SELL","-100","195.68","-1.4443528","19568"
"20200518","20200520","BABA","BUY","100","212.68","-1","-21268"
"20200518","20200520","BABA","SELL","-100","212.8","-1.482188","21280"
"20200512","20200514","BAC","BUY","741","22.11","-3.705","-16383.51"
"20200512","20200514","BAC","BUY","259","22.11","-1.295","-5726.49"
"20200512","20200514","BAC","SELL","-500","22.15","-2.8042575","11075"
"20200512","20200514","BAC","SELL","-200","22.15","-1.121703","4430"
"20200512","20200514","BAC","SELL","-300","22.15","-1.6825545","6645"
"20200514","20200518","BAC","BUY","2","21.5","-0.43","-43"
"20200514","20200518","BAC","BUY","83","21.5","-0.57","-1784.5"
"20200514","20200518","BAC","BUY","500","21.5","-1.925","-10750"
"20200514","20200518","BAC","BUY","403","21.5","-2.015","-8664.5"
"20200514","20200518","BAC","BUY","12","21.5","-0.06","-258"
"20200514","20200518","BAC","SELL","-500","21.555","-2.79768275","10777.5"
"20200514","20200518","BAC","SELL","-500","21.555","-2.79768275","10777.5"
"20200519","20200521","BAC","BUY","1000","22.57","-5","-22570"
"20200519","20200521","BAC","SELL","-90","22.6","-1.0556614","2034"
"20200519","20200521","BAC","SELL","-710","22.6","-3.4391066","16046"
"20200519","20200521","BAC","SELL","-200","22.6","-1.123692","4520"
"20200527","20200529","BAC","SELL","-1000","25.93","-5.692053","25930"
"20200527","20200529","BAC","BUY","1000","25.88","-5","-25880"
"20200602","20200604","BAC","BUY","1000","25","-5","-25000"
"20200602","20200604","BAC","SELL","-1000","25.02","-5.671942","25020"
"20200602","20200604","BAC","BUY","1000","24.92","-5","-24920"
"20200602","20200604","BAC","SELL","-41","24.97","-1.027504317","1023.77"
"20200602","20200604","BAC","SELL","-800","24.97","-3.7416696","19976"
"20200602","20200604","BAC","SELL","-159","24.97","-0.901663083","3970.23"
"20200522","20200527","TD","BUY","100","39.32","-1","-3932"
"20200522","20200527","TD","BUY","400","39.32","-1.5","-15728"
"20200522","20200527","TD","SELL","-400","39.35","-2.395454","15740"
"20200522","20200527","TD","SELL","-100","39.35","-0.5988635","3935"
"20200528","20200601","TD","BUY","22","44.02","-1","-968.44"
"20200528","20200601","TD","BUY","55","44.02","0","-2421.1"
"20200528","20200601","TD","BUY","163","44.02","-0.2","-7175.26"
"20200528","20200601","TD","BUY","100","44.02","-0.5","-4402"
"20200528","20200601","TD","BUY","92","44.02","-0.46","-4049.84"
"20200528","20200601","TD","BUY","68","44.02","-0.34","-2993.36"
"20200528","20200601","TD","SELL","-155","44.08","-1.16944104","6832.4"
"20200528","20200601","TD","SELL","-30","44.08","-0.03279504","1322.4"
"20200528","20200601","TD","SELL","-115","44.08","-0.62571432","5069.2"
"20200528","20200601","TD","SELL","-100","44.08","-0.6093168","4408"
"20200528","20200601","TD","SELL","-100","44.08","-0.6093168","4408"
"20200529","20200602","TD","BUY","100","43.057","-1","-4305.7"
"20200529","20200602","TD","BUY","100","43.06","0","-4306"
"20200529","20200602","TD","BUY","300","43.058","-1.5","-12917.4"
"20200529","20200602","TD","SELL","-100","43.13","-1.1072173","4313"
"20200529","20200602","TD","SELL","-6","43.13","-0.006433038","258.78"
"20200529","20200602","TD","SELL","-14","43.13","-0.015010422","603.82"
"20200529","20200602","TD","SELL","-18","43.13","-0.019299114","776.34"
"20200529","20200602","TD","SELL","-44","43.13","-0.047175612","1897.72"
"20200529","20200602","TD","SELL","-100","43.13","-0.5172173","4313"
"20200529","20200602","TD","SELL","-218","43.13","-1.323733714","9402.34"
"20200529","20200602","TD","BUY","500","42.56","-2.5","-21280"
"20200529","20200602","TD","SELL","-350","42.67","-2.12170245","14934.5"
"20200529","20200602","TD","SELL","-150","42.67","-0.90930105","6400.5"
"20200603","20200605","TD","SELL","-106","46.47","-1.121474622","4925.82"
"20200603","20200605","TD","SELL","-208","46.47","-0.808365296","9665.76"
"20200603","20200605","TD","SELL","-186","46.47","-1.143153582","8643.42"
"20200603","20200605","TD","BUY","100","46.269","-1","-4626.9"
"20200603","20200605","TD","BUY","200","46.27","-0.5","-9254"
"20200603","20200605","TD","BUY","100","46.27","-0.5","-4627"
"20200603","20200605","TD","BUY","100","46.2685","-0.5","-4626.85"
